iter	Passed	Remaining
0	141	141479
1	142	71072
2	143	47584
3	143	35840
4	144	28788
5	145	24087
6	146	20728
7	146	18208
8	147	16250
9	148	14681
10	149	13401
11	149	12332
12	150	11426
13	151	10650
14	151	9979
15	152	9390
16	153	8867
17	153	8400
18	154	7984
19	155	7607
20	155	7267
21	156	6958
22	157	6676
23	157	6416
24	158	6177
25	158	5955
26	159	5750
27	160	5559
28	160	5381
29	161	5216
30	161	5060
31	162	4914
32	163	4778
33	163	4649
34	164	4528
35	164	4413
36	165	4304
37	165	4201
38	166	4104
39	167	4012
40	167	3924
41	168	3842
42	169	3762
43	169	3686
44	170	3613
45	170	3543
46	171	3476
47	172	3412
48	172	3350
49	173	3291
50	173	3234
51	174	3179
52	174	3126
53	175	3075
54	176	3026
55	176	2979
56	177	2934
57	177	2890
58	178	2848
59	179	2806
60	179	2767
61	180	2728
62	180	2690
63	181	2654
64	182	2620
65	182	2587
66	183	2554
67	184	2522
68	184	2491
69	185	2461
70	185	2431
71	186	2403
72	187	2375
73	187	2347
74	188	2321
75	188	2295
76	189	2269
77	189	2244
78	190	2220
79	191	2197
80	191	2172
81	192	2149
82	192	2126
83	193	2105
84	193	2084
85	194	2064
86	194	2044
87	195	2025
88	196	2006
89	196	1987
90	197	1973
91	198	1956
92	198	1938
93	199	1921
94	199	1903
95	200	1887
96	200	1871
97	201	1855
98	202	1839
99	202	1824
100	203	1809
101	203	1795
102	204	1780
103	205	1767
104	205	1753
105	206	1740
106	206	1726
107	207	1713
108	208	1700
109	208	1688
110	209	1675
111	209	1663
112	210	1651
113	211	1640
114	211	1629
115	212	1617
116	212	1605
117	213	1594
118	213	1583
119	214	1572
120	215	1562
121	215	1551
122	216	1541
123	216	1531
124	217	1521
125	217	1511
126	218	1502
127	219	1492
128	219	1483
129	220	1474
130	220	1465
131	221	1456
132	222	1447
133	222	1439
134	223	1430
135	223	1422
136	224	1413
137	225	1405
138	225	1398
139	226	1390
140	227	1383
141	227	1375
142	228	1366
143	228	1359
144	229	1352
145	229	1344
146	230	1337
147	231	1330
148	231	1323
149	232	1316
150	232	1309
151	233	1302
152	234	1296
153	234	1289
154	235	1283
155	236	1277
156	236	1270
157	237	1264
158	237	1258
159	238	1252
160	239	1246
161	239	1240
162	240	1233
163	240	1227
164	241	1222
165	242	1216
166	242	1210
167	243	1204
168	243	1199
169	244	1193
170	245	1188
171	245	1182
172	246	1177
173	246	1171
174	247	1166
175	248	1161
176	248	1155
177	249	1150
178	249	1145
179	250	1140
180	250	1135
181	251	1130
182	252	1125
183	252	1121
184	253	1116
185	254	1112
186	254	1107
187	255	1103
188	256	1098
189	256	1094
190	257	1089
191	257	1084
192	258	1080
193	258	1075
194	259	1071
195	260	1067
196	260	1062
197	261	1058
198	261	1054
199	262	1050
200	263	1046
201	263	1042
202	264	1038
203	265	1034
204	265	1029
205	266	1025
206	266	1022
207	267	1018
208	267	1014
209	268	1010
210	269	1006
211	269	1002
212	270	998
213	270	995
214	271	991
215	272	987
216	272	984
217	273	980
218	273	976
219	274	972
220	275	969
221	275	965
222	276	962
223	276	958
224	277	955
225	277	951
226	278	948
227	279	944
228	279	941
229	280	938
230	280	934
231	281	931
232	282	928
233	282	925
234	283	921
235	283	918
236	284	915
237	284	912
238	285	909
239	286	905
240	286	902
241	287	899
242	287	896
243	288	893
244	288	890
245	289	887
246	290	884
247	290	881
248	291	878
249	291	875
250	292	872
251	293	870
252	293	867
253	294	864
254	294	861
255	295	858
256	296	856
257	296	853
258	297	850
259	297	847
260	298	845
261	299	842
262	299	839
263	300	837
264	300	834
265	301	831
266	302	829
267	302	826
268	303	824
269	303	821
270	304	818
271	305	816
272	305	813
273	306	811
274	306	808
275	307	806
276	308	804
277	308	801
278	309	799
279	310	797
280	310	794
281	311	792
282	311	789
283	312	787
284	312	785
285	313	782
286	314	780
287	314	778
288	315	775
289	315	773
290	316	771
291	317	768
292	317	766
293	318	764
294	318	761
295	319	759
296	320	757
297	320	755
298	321	753
299	322	752
300	323	750
301	323	748
302	324	746
303	325	744
304	325	742
305	326	740
306	327	738
307	327	736
308	328	734
309	328	732
310	329	730
311	330	727
312	330	725
313	331	723
314	331	721
315	332	719
316	333	718
317	334	716
318	334	714
319	335	712
320	336	710
321	336	708
322	337	707
323	337	705
324	338	703
325	339	701
326	339	699
327	340	697
328	340	695
329	341	693
330	342	691
331	342	689
332	343	687
333	343	685
334	344	683
335	345	681
336	345	680
337	346	678
338	346	676
339	347	674
340	348	672
341	348	670
342	349	669
343	349	667
344	350	665
345	351	663
346	351	661
347	352	660
348	352	658
349	353	656
350	354	654
351	354	652
352	355	651
353	355	649
354	356	647
355	357	645
356	357	644
357	358	642
358	358	640
359	359	639
360	360	637
361	360	635
362	361	633
363	361	632
364	362	630
365	362	628
366	363	627
367	364	625
368	364	623
369	365	622
370	365	620
371	366	618
372	367	617
373	367	615
374	368	614
375	369	612
376	369	610
377	370	609
378	370	607
379	371	605
380	371	604
381	372	602
382	372	600
383	373	599
384	374	597
385	374	596
386	375	594
387	375	592
388	376	591
389	377	589
390	377	588
391	378	587
392	379	585
393	379	583
394	380	582
395	380	580
396	381	579
397	382	577
398	382	576
399	383	574
400	383	573
401	384	571
402	385	570
403	385	568
404	386	567
405	386	565
406	387	564
407	388	562
408	388	561
409	389	559
410	389	558
411	390	557
412	390	555
413	391	554
414	392	552
415	392	551
416	393	549
417	393	548
418	394	546
419	395	545
420	395	544
421	396	542
422	396	541
423	397	539
424	397	538
425	398	537
426	399	535
